,site,name,use,current_price,current_discount,review,opinions
0,kriim,Bamboo Hand Treatment,Tratamiento de bambú para manos y uñas,"€14,50",no_discount,unknown,unknown
1,kriim,Loss of Elasticity Skin Renewer,Crema antienvejecimiento para piel seca y sensible,"€56,95",no_discount,unknown,unknown
2,kriim,Age Delay Eye Concentrate,Concentrado AGE-DELAY para el contorno de ojos,"€53,95",no_discount,unknown,unknown
3,kriim,Carota Sativa Cleanser,Limpiador con carota sátiva ideal para pieles sensibles,"€9,00",no_discount,unknown,unknown
4,kriim,Anti-Acne Serum,Sérum Anti-Acné,"€35,00",no_discount,unknown,unknown
5,kriim,Anti Dark Circles Peptide 4% + Caffeine,Sérum reductor de ojeras y bolsas,"€29,50",no_discount,unknown,unknown
6,kriim,All-Over Blemish solution,Crema reguladora para piel grasa y mixta,"€49,95",no_discount,unknown,unknown
7,kriim,Pomelo Shampoo,Champú sólido - Cabello graso,"€8,50",no_discount,unknown,unknown
8,kriim,Whitening Charcoal Toothpaste,Pasta de dientes blanqueante con carbón activo,"€8,50",no_discount,unknown,unknown
9,kriim,Age Defence Broad Spectrum Remedy,Crema protectora frente al envejecimiento y las manchas de la piel,"€63,95",no_discount,unknown,unknown
10,kriim,Ginger Balance Shampoo,Champú equilibrante de jengibre para cabellos grasos,"€19,50",no_discount,unknown,unknown
11,kriim,Purifying facial cleanser,Gel limpiador facial,"€29,95",no_discount,unknown,unknown
12,kriim,Facial Konjac Sponge - Mixed skin,Esponja facial Konjac - Piel mixta,"€6,50",no_discount,unknown,unknown
13,kriim,Glycolic Acid 4% + AHA 1%,Exfoliante facial para reducir manchas,"€26,00",no_discount,unknown,unknown
14,kriim,Spectacular Night Mask,Mascarilla de noche revitalizante con efecto iluminador,"€31,00",no_discount,unknown,unknown
15,kriim,Sachet of sisal,Saquito de Sisal,"€6,50",no_discount,unknown,unknown
16,kriim,Shea Butter Enriched Soap,Jabón con aceite de oliva y manteca de karité,"€6,50",no_discount,unknown,unknown
17,kriim,Charcoal Deodorant,Desodorante de carbón activado,"€14,50",no_discount,unknown,unknown
18,kriim,Activated Charcoal Enriched Soap,Jabón con aceite de oliva y carbón activo,"€6,50",no_discount,unknown,unknown
